timestamp,dmc,snr,final,hwel_report,hwel_set,btld_report,btld_set,swfl_report,swfl_set,report_file,settings_file
2025-10-26 20:39:12,2D5B8E1E201D22528170008_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_07-50-07\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_07-50-07.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:39:13,2D5B8E1E201D22528170008_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_07-55-45\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_07-55-45.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:39:17,2D5B8E1E201D22528170008_NACS,5B8E1E2,NOK,,C3 90 02 1E 1E,,DE C8 13 28 01,,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_08-08-07\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_08-08-07.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:39:21,2D5B8E1E201D22528170008_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_08-10-07\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_08-10-07.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:39:25,2025-10-09_09-44-26,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22528170008_NACS\2025-10-09_09-44-26\_Processed\2D5B8E1E201D22528170008_NACS_EOL_2025-10-09_09-44-26.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:44:45,2D5B8E1E201D22524070003_NACS,5B8E1E2,NOK,,C3 90 02 1E 1E,,DE C8 13 28 01,,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-49-09\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-49-09.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:46:44,2D5B8E1E201D22524070003_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-52-25\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-52-25.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:46:44,2D5B8E1E201D22524070003_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-52-25\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-52-25.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:53:12,2D5B8E1E201D22524070003_NACS,5B8E1E2,NOK,,C3 90 02 1E 1E,,DE C8 13 28 01,,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-49-09\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-49-09.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 20:54:12,2D5B8E1E201D22524070003_NACS,5B8E1E2,OK,C3 90 02 1E 1E,C3 90 02 1E 1E,DE C8 13 28 01,DE C8 13 28 01,DE C9 13 28 02,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-52-25\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-52-25.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
2025-10-26 21:03:23,2D5B8E1E201D22524070003_NACS,5B8E1E2,NOK,,C3 90 02 1E 1E,,DE C8 13 28 01,,DE C9 13 28 02,C:\New folder\soft_comp\MachineReports\Incoming\2D5B8E1E201D22524070003_NACS\2025-08-28_12-49-09\2D5B8E1E201D22524070003_NACS_EOL_2025-08-28_12-49-09.xml,C:\New folder\soft_comp\Files\km_CIF-06_NA00-28-03-2025-210_20251023100000.xml
